Timestamp,title,genres
10/25/2021 11:21:15,Breaking Bad,"Crime, Drama"
10/25/2021 11:21:45,How i met your mother,Comedy
10/25/2021 11:21:46,Friday Night Lights,"Drama, Family, Sport"
10/25/2021 11:21:48,New Girl,Comedy
10/25/2021 11:21:50,The Office,Comedy
10/25/2021 11:21:53,The 100,"Action, Sci-Fi"
10/25/2021 11:21:59,The Office,Comedy
10/25/2021 11:22:01,Cobra Kai,"Action, Sport"
10/25/2021 11:22:12,New Girl,Comedy
10/25/2021 11:22:15,breaking bad,"Crime, Drama"
10/25/2021 11:22:16,Avatar: something,"Crime, Drama"
10/25/2021 11:22:17,Avatar,"Crime, Drama"
10/25/2021 11:22:20,office,Comedy
